,repair_cost-,repair_time-parallel,repair_time-sequential,collapse,irreparable
count,100.0,100.0,100.0,100.0,100.0
mean,9.205,29.3,29.3,0.0,0.0
std,16.856359139337993,46.56384777047445,46.56384777047445,0.0,0.0
log_std,,,,,
min,0.0,0.0,0.0,0.0,0.0
0.1%,0.0,0.0,0.0,0.0,0.0
2.3%,0.0,0.0,0.0,0.0,0.0
10%,0.0,0.0,0.0,0.0,0.0
15.9%,0.0,0.0,0.0,0.0,0.0
50%,2.0,10.0,10.0,0.0,0.0
84.1%,10.0,30.0,30.0,0.0,0.0
90%,35.5,120.0,120.0,0.0,0.0
97.7%,35.5,120.0,120.0,0.0,0.0
99.9%,100.0,240.0,240.0,0.0,0.0
max,100.0,240.0,240.0,0.0,0.0
