,1-PGA-1-1, 1-SA_0.3-1-1, 1-SA_1.0-1-1, 1-PGD-1-1, 1-PGD-1-3
0.000000000000000000e+00,9.770511615919062365e+01,4.982394434452512844e-01,2.177570771298319414e+02,2.088288809959364389e+00,2.997455645687561798e+01
1.000000000000000000e+00,5.378642658832588097e+01,2.145427869663672027e+02,9.976780979449816300e+01,1.125764139046578549e+01,9.425941497490715193e-01
2.000000000000000000e+00,1.373465269812267024e+02,8.945043081876417057e-01,9.735631529431685749e+01,3.093722376703538668e+00,4.933990316809798315e+01
3.000000000000000000e+00,1.309742843127155538e+02,6.333836110662562913e-01,5.633560267214375017e+01,2.943446887258176492e+00,4.691617672786376403e+01
4.000000000000000000e+00,6.168297160434131143e+01,1.163619666902106360e+02,1.094159669539867963e+02,1.904441375461628283e+01,1.545088025929230113e+00
5.000000000000000000e+00,1.067626933565170901e+02,4.547316411109663115e-01,1.053197566059548791e+02,2.388173400071304187e+00,3.565934785906652849e+01
6.000000000000000000e+00,6.568486494688119137e+01,2.027763624697780642e+02,1.029758010292457868e+02,9.962353008309380087e+00,8.659864066094373758e-01
7.000000000000000000e+00,1.906406086051915167e+02,1.309197358626497776e+00,2.414685548378149917e+02,3.907360790057829991e+00,6.721326417005644771e+01
8.000000000000000000e+00,1.010602564168427051e+02,6.176367142040217750e-01,2.215051295520302403e+02,2.210347283399269003e+00,3.220892169886945311e+01
9.000000000000000000e+00,2.448157991794792849e+02,1.588544504458343498e+00,6.570103240062703662e+02,4.588222582803033411e+00,8.390655572832957887e+01
1.000000000000000000e+01,1.004293484434645762e+02,1.050669480952093560e+00,3.033337093522472969e+02,2.187597219218543998e+00,3.181507945584024455e+01
1.100000000000000000e+01,1.379928022939243988e+02,6.025889701114552910e-01,1.162842871161184775e+02,3.106654199591323273e+00,4.958683607590783993e+01
1.200000000000000000e+01,1.730063064446891019e+02,5.272701974851969897e-01,2.959030373642518157e+02,3.668992759596525932e+00,6.226222029166249428e+01
1.300000000000000000e+01,3.028838065884514776e+02,1.675712819005170440e+00,2.242200693910719167e+02,5.251656374441379782e+00,9.803590078087043480e+01
1.400000000000000000e+01,7.997835104067210921e+01,5.085410757403999726e-01,6.752728181938417151e+01,1.311580255792362593e+00,1.732954925465694984e+01
1.500000000000000000e+01,2.207701463202866989e+02,8.549596267049488496e-01,1.428323187812829644e+02,4.296770124269276181e+00,7.407333339579567166e+01
1.600000000000000000e+01,8.884003825081065031e+01,1.133554750678009704e+00,4.030123122547794878e+02,1.717940896789879046e+00,2.371409540539513472e+01
1.700000000000000000e+01,1.104038095181368249e+02,7.631060067119286305e-01,1.454964014865757349e+02,2.461140627495912447e+00,3.750163192303101312e+01
1.800000000000000000e+01,8.193061451554652308e+01,1.634218224273673741e+02,1.130438159052176417e+02,3.435268226474342157e+01,2.470541903980352227e+00
1.900000000000000000e+01,1.473884842457985940e+02,1.017628167595657995e+00,3.792253045246955026e+02,3.283825841483945407e+00,5.313167952200375055e+01
2.000000000000000000e+01,1.161537498992480977e+02,7.793649299852161150e-01,3.172307110155350784e+01,2.578443057668052152e+00,4.042530177418966275e+01
2.100000000000000000e+01,1.228097353548136113e+02,8.842307730329137527e-01,1.409758836216652185e+02,2.731397785846955806e+00,4.360250317429573386e+01
2.200000000000000000e+01,1.074754298351088551e+02,6.945059049334139090e-01,3.397491150545836263e+02,2.403503066414121925e+00,3.602155178559875282e+01
2.300000000000000000e+01,1.394128538773842649e+02,1.029681259441443508e+00,1.592763326118347891e+02,3.135019076807271876e+00,5.013007503514054264e+01
2.400000000000000000e+01,1.596000135287931414e+02,9.718228726475656165e-01,2.505860300779980037e+02,3.474393555081559004e+00,5.788535299263624267e+01
2.500000000000000000e+01,2.221824779650635264e+02,2.719490185582179809e+00,2.995071978148370704e+02,4.313269780569650713e+00,7.534362601286919414e+01
2.600000000000000000e+01,8.254228785452598061e+01,5.616570023190680105e-01,1.474365451396576248e+02,1.418518754951340721e+00,1.906491440974836848e+01
2.700000000000000000e+01,8.563660857912192625e+01,5.885103209071144148e-01,3.583574085407954044e+02,1.561085407169535699e+00,2.139867946506386787e+01
2.800000000000000000e+01,1.093705907880244723e+02,6.236405793338332115e-01,1.852608842864036092e+02,2.440546061237638398e+00,3.697837895959710153e+01
2.900000000000000000e+01,8.339878186789526637e+01,5.586615181722736079e-01,4.306592942759036902e+01,1.457365172684818466e+00,1.971985386992949074e+01
