,repair_cost-,repair_time-parallel,repair_time-sequential,collapse,irreparable
count,100.0,100.0,100.0,100.0,100.0
mean,1.2153999999999998,132.5,132.5,0.0,0.0
std,0.4577225572264703,158.25158974419708,158.25158974419708,0.0,0.0
log_std,,,,,
min,0.0,0.0,0.0,0.0,0.0
0.1%,0.0594,0.396,0.396,0.0,0.0
2.3%,0.7,10.0,10.0,0.0,0.0
10%,0.7,10.0,10.0,0.0,0.0
15.9%,0.7,10.0,10.0,0.0,0.0
50%,1.4,20.0,20.0,0.0,0.0
84.1%,1.7,375.0,375.0,0.0,0.0
90%,1.7,375.0,375.0,0.0,0.0
97.7%,1.7,375.0,375.0,0.0,0.0
99.9%,1.7,375.0,375.0,0.0,0.0
max,1.7,375.0,375.0,0.0,0.0
