,1-PGA-1-1, 1-SA_0.3-1-1, 1-SA_1.0-1-1, 1-PGD-1-1, 1-PGD-1-3
0.000000000000000000e+00,8.098318064862876042e+01,1.772554542896267264e+02,1.772544760525614151e+02,1.045836932619607396e+01,6.932900883066487330e-01
1.000000000000000000e+00,6.997775065023003549e+01,5.478240864302547086e-01,1.077902945549340643e+02,4.014476923479210618e-02,5.397766747274648225e-01
2.000000000000000000e+00,1.445062111018810924e+02,4.025883854081722575e+02,1.062095658172331696e+02,1.527964936510266902e+01,9.265667335223976009e-01
3.000000000000000000e+00,1.621303090020828108e+02,2.660488011466885041e+02,4.566985719022526524e+01,5.278085901379041545e+00,3.012835725519779628e-01
4.000000000000000000e+00,6.136624978451895629e+01,1.066896198721532301e+02,1.276207335616270484e+02,7.866755024503378380e+00,5.367000153927027339e-01
5.000000000000000000e+00,1.063817286236812549e+02,2.040978960268328990e+02,8.442548778741473825e+01,1.168790707470135537e+01,7.335483668437088323e-01
6.000000000000000000e+00,8.282322531556370393e+01,2.583227071226102680e+02,6.544146296958314224e+01,9.590002920068236847e-01,7.914796431884164873e-02
7.000000000000000000e+00,2.967223263676821148e+02,2.179192115025465171e+00,3.245226032187209739e+02,7.197884649183879935e-01,1.597920940495072983e+01
8.000000000000000000e+00,1.878519171734841962e+02,4.557485892168347164e+02,1.880360398289976160e+02,1.399945550541180417e+01,8.256884259634006407e-01
9.000000000000000000e+00,2.736573105083205633e+02,6.975057820634950758e+02,6.704368118322614691e+02,2.722402020687066937e+01,1.422575504682257908e+00
1.000000000000000000e+01,1.431549110312444100e+02,5.533888233372904324e+02,2.007161168936578690e+02,1.424620283787466590e+01,8.758374156953216971e-01
1.100000000000000000e+01,2.022020414508421879e+02,9.459990910055415814e-01,1.305928939309791019e+02,2.588515968412302692e-01,4.781523922112944192e+00
1.200000000000000000e+01,1.298692066023980658e+02,1.453254245432743517e+02,1.462901245445297320e+02,1.685192691864834913e+01,9.991857461245943206e-01
1.300000000000000000e+01,2.673879966407153006e+02,6.082410756528239517e+02,2.633229689373946485e+02,2.897331106631053999e+01,1.461779313649449241e+00
1.400000000000000000e+01,7.282414086520175545e+01,1.528014048929101136e+02,5.690323726157631512e+01,8.562314798211218658e+00,5.988797185252264788e-01
1.500000000000000000e+01,2.272856949177418358e+02,4.449433105500586976e+02,1.191649057959952671e+02,8.063079559812488029e+00,4.310185971055133791e-01
1.600000000000000000e+01,1.166915432097265324e+02,6.022223597382495655e+02,3.821320897149856819e+02,1.323335947559885462e+01,8.197097175474307162e-01
1.700000000000000000e+01,1.200831693041819221e+02,3.209196155487375677e+02,9.162372448164826721e+01,1.388793769835371528e+01,8.517870997324432647e-01
1.800000000000000000e+01,9.026747360867176440e+01,1.648760647269847084e+02,1.048069538385639277e+02,1.183267092223170280e+01,7.412108591471928687e-01
1.900000000000000000e+01,1.331915968382662641e+02,4.536512399390123278e+02,3.273453768252877580e+02,1.524462938300224657e+01,9.269325275445674528e-01
