,1-PGA-1-1, 1-SA_0.3-1-1, 1-SA_1.0-1-1, 1-PGD-1-1, 1-PGD-1-3
0.000000000000000000e+00,8.559401106109012858e+01,1.603830245656660622e+02,1.426033195151136965e+02,3.145154269606591946e+00,2.010075654228428987e-01
1.000000000000000000e+00,6.895133795095377138e+01,2.069376578767771662e+02,1.356798816177788467e+02,6.762864604617926378e-01,4.918560038320193839e-02
2.000000000000000000e+00,1.727910481836307497e+02,1.160781422097640458e+00,1.178572775541981343e+02,2.077105887378882521e-01,3.879222622033440260e+00
3.000000000000000000e+00,1.665025270125780992e+02,7.157318365717716402e-01,5.096088320078690970e+01,1.981782237804621538e-01,3.666721248280302881e+00
4.000000000000000000e+00,6.825918434549504354e+01,3.249536584676432915e-01,1.637798946850233222e+02,3.589590856100594723e-02,4.862352044388796313e-01
5.000000000000000000e+00,9.561826826552932346e+01,1.856320169670634641e+02,8.695600084488468440e+01,2.310293977734914961e+00,1.400180155649594083e-01
6.000000000000000000e+00,8.282322531556370393e+01,2.583227071226102680e+02,6.544146296958314224e+01,9.590002920068236847e-01,7.914796431884164873e-02
7.000000000000000000e+00,2.280912650648947988e+02,8.000039202980470918e+02,2.366414490605486094e+02,1.645931563971216605e+01,7.601797980370869068e-01
8.000000000000000000e+00,1.320307660637841707e+02,2.989015076491548371e+02,1.527607625494754018e+02,5.154321509509440347e+00,2.976613333051869037e-01
9.000000000000000000e+00,2.641675725770025451e+02,7.430379789794806129e+02,6.965825734720149285e+02,1.830604640547171869e+01,8.847573799879783207e-01
1.000000000000000000e+01,1.282209567278418945e+02,1.341836453616053637e+00,2.731057980681700883e+02,1.413837062703001690e-01,2.411377069291622988e+00
1.100000000000000000e+01,2.022020414508421879e+02,9.459990910055415814e-01,1.305928939309791019e+02,2.588515968412302692e-01,4.781523922112944192e+00
1.200000000000000000e+01,1.476771696961325802e+02,4.745646088977051869e-01,1.918942228299829651e+02,1.747577604948229446e-01,3.065017917771837297e+00
1.300000000000000000e+01,2.888202723608231963e+02,7.008257044076734701e+02,2.329247001818462195e+02,1.558199123494148708e+01,6.736278416291247018e-01
1.400000000000000000e+01,9.522512096968145556e+01,2.144434269984560046e+02,6.554763508332270305e+01,2.095876047417816412e+00,1.513554593875740262e-01
1.500000000000000000e+01,2.272856949177418358e+02,4.449433105500586976e+02,1.191649057959952671e+02,8.063079559812488029e+00,4.310185971055133791e-01
1.600000000000000000e+01,1.237859635291543867e+02,1.331012985686826244e+00,3.367148728805292421e+02,1.357601055897224018e-01,2.255344536601593841e+00
1.700000000000000000e+01,1.631181141205084089e+02,9.754458514212127618e-01,1.445538351032469677e+02,1.933935349355174194e-01,3.542774628905390522e+00
1.800000000000000000e+01,9.260581722551961548e+01,4.944589808628699901e-01,1.228356318123643973e+02,8.507919415967755972e-02,1.430294707686120548e+00
1.900000000000000000e+01,1.459688184308124903e+02,9.772080157002486223e-01,5.219463657021689187e+02,1.710942186106997887e-01,3.025241483339233817e+00
2.000000000000000000e+01,1.605855682336482175e+02,3.609169232027136900e+02,2.325300816602485199e+01,5.960175036212850941e+00,3.348072201995592745e-01
2.100000000000000000e+01,1.390520967033046702e+02,3.474166200967264331e+02,1.016882336277924708e+02,4.662507545279744647e+00,2.600144894034265852e-01
2.200000000000000000e+01,1.590074714579581041e+02,9.222738110636615749e-01,3.932846655074374098e+02,1.879457907668868055e-01,3.432610586062842195e+00
2.300000000000000000e+01,1.546366347377625345e+02,1.031303517014831694e+00,1.309128072789629584e+02,1.824601745973250533e-01,3.260379171257369979e+00
2.400000000000000000e+01,1.565719616634275155e+02,8.327005941442721104e-01,1.807278892613641403e+02,1.848095766060821321e-01,3.368285198266593117e+00
2.500000000000000000e+01,2.291079376962229333e+02,9.390849120571119784e+02,2.489625414483039947e+02,4.854894327114156027e+00,2.648811885873694760e-01
2.600000000000000000e+01,1.141649704531799756e+02,7.468951876442591065e-01,1.973153352676974066e+02,1.252677829831614353e-01,1.989459781623878598e+00
2.700000000000000000e+01,9.463858264862899716e+01,2.746375993292472231e+02,3.186593808770713281e+02,2.884035802988456965e+00,1.854394981829659006e-01
2.800000000000000000e+01,9.601101536052479446e+01,2.255445018819297616e+02,1.097840939575954025e+02,2.500387556075736484e+00,1.604145204138868464e-01
2.900000000000000000e+01,6.629518319938051718e+01,4.297744439831844843e-01,3.178060824110710314e+01,3.159618266814789855e-02,4.286946273933394114e-01
3.000000000000000000e+01,1.784048922776705410e+02,6.320048907048081901e+02,2.421343110308923769e+02,1.244358664295558370e+01,4.786513341450783221e-01
3.100000000000000000e+01,5.827132059573631295e+01,5.584622559324594615e-01,3.883369231507865038e+01,1.823721591195635525e-02,2.467689207454306644e-01
3.200000000000000000e+01,3.344797831605371243e+02,1.098749563776155128e+03,1.020755616630407644e+03,1.490802307589725295e+01,6.376643436830747858e-01
3.300000000000000000e+01,1.874272738052695502e+02,1.962402939040457595e+00,7.343578223665786027e+02,2.325466167911975357e-01,4.322521281445051322e+00
3.400000000000000000e+01,2.641059496308598114e+02,2.331456393149076156e+00,2.022581732165390065e+02,4.954559151928642491e-01,1.270463283392348330e+01
3.500000000000000000e+01,2.786724155114242762e+02,6.137881237430067358e+02,3.065430770001775613e+02,2.417668621634759063e+01,1.338964496858294106e+00
3.600000000000000000e+01,2.103627677412241610e+02,1.023189494778089625e+03,7.962985481014784739e+01,7.167695671749637398e+00,3.986985235313798004e-01
3.700000000000000000e+01,1.312489049736860522e+02,8.686834721125630265e-01,2.509611041172900343e+02,1.455396994040037695e-01,2.503377993268288026e+00
3.800000000000000000e+01,1.666443481216891769e+02,3.002738143913186377e+02,3.391009531589135122e+02,6.615191551645192902e+00,3.665721123250047508e-01
3.900000000000000000e+01,2.566770441919296104e+02,3.974620372285562553e+02,1.655814558285078419e+02,1.662153310232586634e+01,7.675997811708965557e-01
4.000000000000000000e+01,2.612422577665662971e+02,1.840930752879796461e+00,2.722110587258762280e+02,4.768736214659113903e-01,1.239104764012080295e+01
