,repair_cost-,repair_time-parallel,repair_time-sequential,collapse,irreparable
count,100.0,100.0,100.0,100.0,100.0
mean,0.1825,7.67,7.67,0.0,0.0
std,0.3231298172374051,19.894700070850302,19.894700070850302,0.0,0.0
log_std,,,,,
min,0.0,0.0,0.0,0.0,0.0
0.1%,0.0,0.0,0.0,0.0,0.0
2.3%,0.0,0.0,0.0,0.0,0.0
10%,0.0,0.0,0.0,0.0,0.0
15.9%,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0
84.1%,0.75,9.0,9.0,0.0,0.0
90%,0.75,9.0,9.0,0.0,0.0
97.7%,0.9,70.0,70.0,0.0,0.0
99.9%,0.9,70.0,70.0,0.0,0.0
max,0.9,70.0,70.0,0.0,0.0
