,1-PGA-1-1, 1-SA_0.3-1-1, 1-SA_1.0-1-1, 1-PGD-1-3, 1-PGD-1-1
0.000000000000000000e+00,8.994788901608150411e+01,1.796587809196500700e+02,2.610466071643134569e+02,1.429613674469322504e+01,1.094365687882121074e+00
1.000000000000000000e+00,6.288454779712470355e+01,4.579334674366000169e-01,8.948113759761766062e+01,3.386139286376862456e-01,3.780698479985610927e+00
2.000000000000000000e+00,1.183593424285968041e+02,3.246575832378345012e+02,8.885435220897146280e+01,2.159920992622462066e+01,1.467947491495879442e+00
3.000000000000000000e+00,1.307536032958465739e+02,6.133379108635393928e-01,8.165434650504792558e+01,5.456009242672226200e-01,7.436787207465529015e+00
4.000000000000000000e+00,9.460785529257607607e+01,1.772593914196330900e+02,2.046797692181015691e+02,1.371749011017149833e+01,1.068782256565110611e+00
5.000000000000000000e+00,1.063193039050780158e+02,2.283006521740335586e+02,1.414835259281119590e+02,1.796248227587209101e+01,1.290326572422488827e+00
6.000000000000000000e+00,7.745808650827204644e+01,6.757635360673884817e-01,8.912628155348704695e+01,1.471784957287022966e+00,1.906842797249519350e+01
7.000000000000000000e+00,1.118728030408206138e+02,3.672798193238926387e+02,1.625119082422673955e+02,2.157472537328547091e+01,1.468395043706432590e+00
8.000000000000000000e+00,1.596936499333168626e+02,3.851908652904168093e+02,2.110904295388444041e+02,2.536049578760560408e+01,1.657973508832821796e+00
9.000000000000000000e+00,2.441251896719592480e+02,1.729193090712114911e+00,7.602488309405189284e+02,5.456009242672226200e-01,7.436787207465529015e+00
1.000000000000000000e+01,1.303774679624260386e+02,1.250375573933589113e+00,2.181903064683061189e+02,5.456009242672226200e-01,7.436787207465529015e+00
1.100000000000000000e+01,1.565400851000503906e+02,3.215232165544481973e+02,1.103565305290202190e+02,2.267247947917829620e+01,1.523521945514063836e+00
1.200000000000000000e+01,1.371642783301095108e+02,1.908267879827814966e+02,2.130878407158496373e+02,2.109128747263301307e+01,1.440492677568246949e+00
1.300000000000000000e+01,2.217139809123262069e+02,1.279324497045638109e+00,1.644808637504897604e+02,2.527879451021943336e+00,3.969777409298541215e+01
1.400000000000000000e+01,9.446771541155177943e+01,5.833257866441829975e-01,1.106465482638264177e+02,1.702407381377595064e+00,2.347827459557037599e+01
1.500000000000000000e+01,2.145710180377679421e+02,3.868065250404954440e+02,1.521803129768533154e+02,2.806873166960958343e+01,1.770773632033454170e+00
1.600000000000000000e+01,1.051419717530384759e+02,1.087428155307962330e+00,3.943612269212945876e+02,9.208241648824885273e-01,1.332856333267164395e+01
1.700000000000000000e+01,1.523004411305368819e+02,8.321227783977427350e-01,1.855563923032879359e+02,1.066721441850905006e+00,1.715941399082401730e+01
1.800000000000000000e+01,1.069191689735962854e+02,6.002377240509834122e-01,1.690102413081674229e+02,5.456009242672226200e-01,7.436787207465529015e+00
1.900000000000000000e+01,1.236166402428870867e+02,4.335183882190165718e+02,3.969632565480210360e+02,2.126196000717431289e+01,1.450251860805365611e+00
2.000000000000000000e+01,1.382225918053991052e+02,8.104163427735001646e-01,3.584165205190272019e+01,5.456009242672226200e-01,7.436787207465529015e+00
2.100000000000000000e+01,1.248619232908909424e+02,9.007898276677661631e-01,1.581752699891173108e+02,2.007547267325969553e+00,2.930792340409156083e+01
2.200000000000000000e+01,1.413691370603173709e+02,7.935735803566283941e-01,7.157116397351289834e+02,5.456009242672226200e-01,7.436787207465529015e+00
2.300000000000000000e+01,1.127594767821661890e+02,3.651451856723879814e+02,1.975726349478704265e+02,1.977165724824502746e+01,1.372627086142123476e+00
2.400000000000000000e+01,1.182181400245891751e+02,7.826808695428405516e-01,1.750254093311152417e+02,5.456009242672226200e-01,7.436787207465529015e+00
2.500000000000000000e+01,2.021686196740113814e+02,1.002466242154825977e+03,3.606617523896048283e+02,2.451926067653986152e+01,1.622271025334579564e+00
2.600000000000000000e+01,1.247434214993189983e+02,7.530745472950540753e-01,1.900225935233817154e+02,5.456009242672226200e-01,7.436787207465529015e+00
2.700000000000000000e+01,7.963597282047140880e+01,2.114889840234368137e+02,3.083884146496193921e+02,1.451186947691637208e+01,1.106232157024034102e+00
2.800000000000000000e+01,9.770631286775895319e+01,2.412178289311565607e+02,1.633297372837775754e+02,1.649243743513227045e+01,1.201225658361382953e+00
2.900000000000000000e+01,7.577140525441127750e+01,1.939580384617327979e+02,7.493337130964835069e+01,1.363079205675950334e+01,1.069622909326265914e+00
3.000000000000000000e+01,2.276889309093642169e+02,2.239438709617815437e+00,3.577574049738742019e+02,5.456009242672226200e-01,7.436787207465529015e+00
3.100000000000000000e+01,6.431300227907307487e+01,2.274475098623617271e+02,9.903062212244557827e+01,1.173478903237942284e+01,9.955174493292986426e-01
3.200000000000000000e+01,2.811998702715598597e+02,2.063527186417002834e+00,7.499240646262499013e+02,5.455319308147680291e-01,7.436787207465529015e+00
3.300000000000000000e+01,1.154251440277431158e+02,3.977765710604036258e+02,5.587657515611521148e+02,2.162038876164334411e+01,1.469307290969079638e+00
3.400000000000000000e+01,2.668686355638989198e+02,1.767126723964294488e+00,2.310278974377799841e+02,5.455804233348253707e-01,7.436787207465529015e+00
